code,label,count_for,count_against,count_abstentions,count_did_not_vote,group_voted,division,vote_id
ESN,Europe of Sovereign Nations,0,24,0,3,0,0.0,182704
EPP,European Peopleâs Party,144,0,1,43,1,0.006896551724137945,182962
SD,Progressive Alliance of Socialists and Democrats,99,1,0,36,1,0.010000000000000009,182962
PFE,Patriots for Europe,43,0,21,21,1,0.328125,182962
ECR,European Conservatives and Reformists,40,1,22,16,1,0.3650793650793651,182962
RENEW,Renew Europe,59,0,0,16,1,0.0,182962
GREEN_EFA,Greens/European Free Alliance,42,0,0,11,1,0.0,182962
GUE_NGL,The Left in the European Parliament,35,0,0,11,1,0.0,182962
NI,Non-attached Members,12,4,6,8,1,0.4545454545454546,182962
ESN,Europe of Sovereign Nations,3,1,19,4,1,0.8695652173913043,182962
EPP,European Peopleâs Party,159,0,1,27,1,0.006249999999999978,183108
SD,Progressive Alliance of Socialists and Democrats,115,0,3,18,1,0.025423728813559365,183108
PFE,Patriots for Europe,0,73,6,7,0,0.07594936708860756,183108
ECR,European Conservatives and Reformists,30,6,33,10,1,0.5652173913043479,183108
RENEW,Renew Europe,67,0,0,8,1,0.0,183108
GREEN_EFA,Greens/European Free Alliance,49,1,0,3,1,0.020000000000000018,183108
GUE_NGL,The Left in the European Parliament,18,5,14,9,1,0.5135135135135135,183108
NI,Non-attached Members,2,22,1,5,0,0.12,183108
ESN,Europe of Sovereign Nations,0,20,1,6,0,0.04761904761904767,183108
EPP,European Peopleâs Party,170,2,1,15,1,0.017341040462427793,182886
SD,Progressive Alliance of Socialists and Democrats,7,112,4,13,0,0.08943089430894313,182886
PFE,Patriots for Europe,78,0,0,7,1,0.0,182886
ECR,European Conservatives and Reformists,75,0,0,4,1,0.0,182886
RENEW,Renew Europe,34,33,1,7,1,0.5,182886
GREEN_EFA,Greens/European Free Alliance,0,48,0,5,0,0.0,182886
GUE_NGL,The Left in the European Parliament,0,42,0,4,0,0.0,182886
NI,Non-attached Members,18,5,2,5,1,0.28,182886
ESN,Europe of Sovereign Nations,23,0,0,4,1,0.0,182886
EPP,European Peopleâs Party,170,0,0,17,1,0.0,184066
SD,Progressive Alliance of Socialists and Democrats,113,0,0,23,1,0.0,184066
PFE,Patriots for Europe,55,0,13,18,1,0.19117647058823528,184066
ECR,European Conservatives and Reformists,64,0,1,14,1,0.01538461538461533,184066
RENEW,Renew Europe,64,0,0,11,1,0.0,184066
GREEN_EFA,Greens/European Free Alliance,49,0,0,4,1,0.0,184066
GUE_NGL,The Left in the European Parliament,34,0,1,11,1,0.02857142857142858,184066
NI,Non-attached Members,14,0,13,3,1,0.4814814814814815,184066
ESN,Europe of Sovereign Nations,19,0,7,1,1,0.2692307692307693,184066
EPP,European Peopleâs Party,170,0,0,17,1,0.0,183021
SD,Progressive Alliance of Socialists and Democrats,102,1,8,25,1,0.08108108108108103,183021
PFE,Patriots for Europe,37,15,24,10,1,0.513157894736842,183021
ECR,European Conservatives and Reformists,62,0,3,14,1,0.0461538461538461,183021
RENEW,Renew Europe,63,0,1,11,1,0.015625,183021
GREEN_EFA,Greens/European Free Alliance,35,1,13,4,1,0.2857142857142857,183021
GUE_NGL,The Left in the European Parliament,2,34,3,7,0,0.1282051282051282,183021
NI,Non-attached Members,7,15,5,3,0,0.4444444444444444,183021
ESN,Europe of Sovereign Nations,5,2,19,1,1,0.8076923076923077,183021
EPP,European Peopleâs Party,170,0,0,17,1,0.0,184027
SD,Progressive Alliance of Socialists and Democrats,114,0,0,22,1,0.0,184027
PFE,Patriots for Europe,69,1,7,9,1,0.10389610389610393,184027
ECR,European Conservatives and Reformists,64,0,2,13,1,0.030303030303030276,184027
RENEW,Renew Europe,63,0,0,12,1,0.0,184027
GREEN_EFA,Greens/European Free Alliance,47,0,1,5,1,0.02083333333333337,184027
GUE_NGL,The Left in the European Parliament,20,0,17,9,1,0.45945945945945943,184027
NI,Non-attached Members,11,4,12,3,1,0.5925925925925926,184027
ESN,Europe of Sovereign Nations,4,4,18,1,0,0.8461538461538461,184027
EPP,European Peopleâs Party,1,159,4,23,0,0.030487804878048808,183538
SD,Progressive Alliance of Socialists and Democrats,2,98,0,36,0,0.020000000000000018,183538
PFE,Patriots for Europe,73,0,0,13,1,0.0,183538
ECR,European Conservatives and Reformists,32,27,1,19,1,0.4666666666666667,183538
RENEW,Renew Europe,2,59,2,12,0,0.06349206349206349,183538
GREEN_EFA,Greens/European Free Alliance,0,43,0,10,0,0.0,183538
GUE_NGL,The Left in the European Parliament,8,0,3,35,1,0.2727272727272727,183538
NI,Non-attached Members,22,4,0,4,1,0.15384615384615385,183538
ESN,Europe of Sovereign Nations,25,0,0,2,1,0.0,183538
EPP,European Peopleâs Party,151,0,0,37,1,0.0,182963
SD,Progressive Alliance of Socialists and Democrats,104,0,0,32,1,0.0,182963
PFE,Patriots for Europe,54,0,12,19,1,0.18181818181818177,182963
ECR,European Conservatives and Reformists,68,0,0,11,1,0.0,182963
RENEW,Renew Europe,60,0,0,15,1,0.0,182963
GREEN_EFA,Greens/European Free Alliance,43,0,0,10,1,0.0,182963
GUE_NGL,The Left in the European Parliament,36,0,1,9,1,0.027027027027026973,182963
NI,Non-attached Members,16,0,9,5,1,0.36,182963
ESN,Europe of Sovereign Nations,3,0,20,4,1,0.8695652173913043,182963
EPP,European Peopleâs Party,168,0,0,19,1,0.0,184067
SD,Progressive Alliance of Socialists and Democrats,112,0,0,24,1,0.0,184067
PFE,Patriots for Europe,27,0,42,17,1,0.6086956521739131,184067
ECR,European Conservatives and Reformists,61,0,3,15,1,0.046875,184067
RENEW,Renew Europe,64,0,0,11,1,0.0,184067
GREEN_EFA,Greens/European Free Alliance,49,0,0,4,1,0.0,184067
GUE_NGL,The Left in the European Parliament,11,1,21,13,1,0.6666666666666667,184067
NI,Non-attached Members,9,8,10,3,1,0.6666666666666667,184067
ESN,Europe of Sovereign Nations,2,0,24,1,1,0.9230769230769231,184067
EPP,European Peopleâs Party,173,0,0,15,1,0.0,182512
SD,Progressive Alliance of Socialists and Democrats,118,0,0,18,1,0.0,182512
PFE,Patriots for Europe,78,0,0,7,1,0.0,182512
ECR,European Conservatives and Reformists,71,4,0,4,1,0.053333333333333344,182512
RENEW,Renew Europe,68,0,0,7,1,0.0,182512
GREEN_EFA,Greens/European Free Alliance,45,0,0,8,1,0.0,182512
GUE_NGL,The Left in the European Parliament,33,5,1,7,1,0.15384615384615385,182512
NI,Non-attached Members,22,2,1,5,1,0.12,182512
ESN,Europe of Sovereign Nations,19,2,3,3,1,0.20833333333333337,182512
EPP,European Peopleâs Party,71,68,28,21,1,0.5748502994011976,182767
SD,Progressive Alliance of Socialists and Democrats,118,2,2,14,1,0.032786885245901676,182767
PFE,Patriots for Europe,4,38,35,8,0,0.5064935064935066,182767
ECR,European Conservatives and Reformists,1,64,8,6,0,0.12328767123287676,182767
RENEW,Renew Europe,62,0,0,13,1,0.0,182767
GREEN_EFA,Greens/European Free Alliance,47,0,0,6,1,0.0,182767
GUE_NGL,The Left in the European Parliament,41,0,0,5,1,0.0,182767
NI,Non-attached Members,14,7,5,4,1,0.46153846153846156,182767
ESN,Europe of Sovereign Nations,0,23,1,3,0,0.04166666666666663,182767
EPP,European Peopleâs Party,173,0,0,15,1,0.0,182462
SD,Progressive Alliance of Socialists and Democrats,122,1,3,10,1,0.031746031746031744,182462
PFE,Patriots for Europe,67,5,6,7,1,0.14102564102564108,182462
ECR,European Conservatives and Reformists,71,4,0,4,1,0.053333333333333344,182462
RENEW,Renew Europe,67,1,0,7,1,0.014705882352941124,182462
GREEN_EFA,Greens/European Free Alliance,48,0,0,5,1,0.0,182462
GUE_NGL,The Left in the European Parliament,18,20,4,4,0,0.5238095238095238,182462
NI,Non-attached Members,19,5,1,5,1,0.24,182462
ESN,Europe of Sovereign Nations,19,1,4,3,1,0.20833333333333337,182462
EPP,European Peopleâs Party,153,0,1,33,1,0.00649350649350644,184065
SD,Progressive Alliance of Socialists and Democrats,81,7,17,31,1,0.22857142857142854,184065
PFE,Patriots for Europe,0,70,5,11,0,0.06666666666666665,184065
ECR,European Conservatives and Reformists,0,56,5,18,0,0.08196721311475408,184065
RENEW,Renew Europe,62,0,0,13,1,0.0,184065
GREEN_EFA,Greens/European Free Alliance,46,0,0,7,1,0.0,184065
GUE_NGL,The Left in the European Parliament,36,0,0,10,1,0.0,184065
NI,Non-attached Members,7,10,7,6,0,0.5833333333333333,184065
ESN,Europe of Sovereign Nations,0,22,0,5,0,0.0,184065
EPP,European Peopleâs Party,152,0,0,36,1,0.0,182968
SD,Progressive Alliance of Socialists and Democrats,99,1,4,32,1,0.04807692307692313,182968
PFE,Patriots for Europe,58,0,4,23,1,0.06451612903225812,182968
ECR,European Conservatives and Reformists,67,0,0,12,1,0.0,182968
RENEW,Renew Europe,59,1,0,15,1,0.01666666666666672,182968
GREEN_EFA,Greens/European Free Alliance,4,0,39,10,1,0.9069767441860466,182968
GUE_NGL,The Left in the European Parliament,36,0,0,10,1,0.0,182968
NI,Non-attached Members,23,0,1,6,1,0.04166666666666663,182968
ESN,Europe of Sovereign Nations,21,0,2,4,1,0.08695652173913049,182968
EPP,European Peopleâs Party,143,4,2,39,1,0.04026845637583898,182506
SD,Progressive Alliance of Socialists and Democrats,101,0,0,35,1,0.0,182506
PFE,Patriots for Europe,0,76,0,9,0,0.0,182506
ECR,European Conservatives and Reformists,0,62,7,10,0,0.10144927536231885,182506
RENEW,Renew Europe,59,1,0,15,1,0.01666666666666672,182506
GREEN_EFA,Greens/European Free Alliance,43,0,0,10,1,0.0,182506
GUE_NGL,The Left in the European Parliament,35,1,2,8,1,0.07894736842105265,182506
NI,Non-attached Members,5,17,3,5,0,0.31999999999999995,182506
ESN,Europe of Sovereign Nations,0,23,1,3,0,0.04166666666666663,182506
EPP,European Peopleâs Party,40,139,0,8,0,0.22346368715083798,183885
SD,Progressive Alliance of Socialists and Democrats,10,102,0,24,0,0.0892857142857143,183885
PFE,Patriots for Europe,72,1,7,6,1,0.09999999999999998,183885
ECR,European Conservatives and Reformists,37,37,0,5,0,0.5,183885
RENEW,Renew Europe,7,60,3,5,0,0.1428571428571429,183885
GREEN_EFA,Greens/European Free Alliance,0,46,0,7,0,0.0,183885
GUE_NGL,The Left in the European Parliament,12,15,1,18,0,0.4642857142857143,183885
NI,Non-attached Members,23,1,2,4,1,0.11538461538461542,183885
ESN,Europe of Sovereign Nations,24,1,0,2,1,0.040000000000000036,183885
EPP,European Peopleâs Party,150,1,0,37,1,0.0066225165562914245,182388
SD,Progressive Alliance of Socialists and Democrats,89,5,4,38,1,0.09183673469387754,182388
PFE,Patriots for Europe,74,0,2,9,1,0.02631578947368418,182388
ECR,European Conservatives and Reformists,44,8,15,12,1,0.34328358208955223,182388
RENEW,Renew Europe,58,0,2,15,1,0.033333333333333326,182388
GREEN_EFA,Greens/European Free Alliance,2,40,0,11,0,0.04761904761904767,182388
GUE_NGL,The Left in the European Parliament,6,29,2,9,0,0.21621621621621623,182388
NI,Non-attached Members,7,10,8,5,0,0.6,182388
ESN,Europe of Sovereign Nations,20,0,4,3,1,0.16666666666666663,182388
EPP,European Peopleâs Party,178,0,1,8,1,0.005586592178770999,183058
SD,Progressive Alliance of Socialists and Democrats,113,2,1,20,1,0.025862068965517238,183058
PFE,Patriots for Europe,80,0,0,6,1,0.0,183058
ECR,European Conservatives and Reformists,74,0,0,5,1,0.0,183058
RENEW,Renew Europe,71,0,0,4,1,0.0,183058
GREEN_EFA,Greens/European Free Alliance,1,48,2,2,0,0.05882352941176472,183058
GUE_NGL,The Left in the European Parliament,9,28,1,8,0,0.26315789473684215,183058
NI,Non-attached Members,17,5,6,2,1,0.3928571428571429,183058
ESN,Europe of Sovereign Nations,22,0,3,2,1,0.12,183058
EPP,European Peopleâs Party,176,0,5,7,1,0.027624309392265234,183050
SD,Progressive Alliance of Socialists and Democrats,127,0,0,9,1,0.0,183050
PFE,Patriots for Europe,21,21,37,6,0,0.7341772151898734,183050
ECR,European Conservatives and Reformists,5,11,56,7,0,0.8472222222222222,183050
RENEW,Renew Europe,68,0,1,6,1,0.01449275362318836,183050
GREEN_EFA,Greens/European Free Alliance,51,0,0,2,1,0.0,183050
GUE_NGL,The Left in the European Parliament,37,0,2,7,1,0.05128205128205132,183050
NI,Non-attached Members,17,3,6,4,1,0.34615384615384615,183050
ESN,Europe of Sovereign Nations,1,22,1,3,0,0.08333333333333337,183050
EPP,European Peopleâs Party,178,1,0,9,1,0.005586592178770999,183022
SD,Progressive Alliance of Socialists and Democrats,127,0,0,9,1,0.0,183022
PFE,Patriots for Europe,7,19,53,6,0,0.759493670886076,183022
ECR,European Conservatives and Reformists,57,2,6,14,1,0.12307692307692308,183022
RENEW,Renew Europe,69,0,0,6,1,0.0,183022
GREEN_EFA,Greens/European Free Alliance,41,0,10,2,1,0.196078431372549,183022
GUE_NGL,The Left in the European Parliament,0,37,1,8,0,0.02631578947368418,183022
NI,Non-attached Members,12,3,11,4,1,0.5384615384615384,183022
ESN,Europe of Sovereign Nations,0,21,3,3,0,0.125,183022
EPP,European Peopleâs Party,173,7,0,8,1,0.03888888888888886,183166
SD,Progressive Alliance of Socialists and Democrats,103,14,4,15,1,0.14876033057851235,183166
PFE,Patriots for Europe,0,79,0,6,0,0.0,183166
ECR,European Conservatives and Reformists,2,70,0,7,0,0.02777777777777779,183166
RENEW,Renew Europe,66,3,0,6,1,0.04347826086956519,183166
GREEN_EFA,Greens/European Free Alliance,47,4,0,2,1,0.07843137254901966,183166
GUE_NGL,The Left in the European Parliament,22,11,5,8,1,0.42105263157894735,183166
NI,Non-attached Members,4,22,0,4,0,0.15384615384615385,183166
ESN,Europe of Sovereign Nations,0,24,0,3,0,0.0,183166
EPP,European Peopleâs Party,60,72,36,20,0,0.5714285714285714,182713
SD,Progressive Alliance of Socialists and Democrats,1,118,2,15,0,0.024793388429752095,182713
PFE,Patriots for Europe,77,0,0,8,1,0.0,182713
ECR,European Conservatives and Reformists,72,0,2,5,1,0.027027027027026973,182713
RENEW,Renew Europe,2,62,2,9,0,0.06060606060606055,182713
GREEN_EFA,Greens/European Free Alliance,0,48,0,5,0,0.0,182713
GUE_NGL,The Left in the European Parliament,0,41,0,5,0,0.0,182713
NI,Non-attached Members,8,15,3,4,0,0.42307692307692313,182713
ESN,Europe of Sovereign Nations,21,0,3,3,1,0.125,182713
EPP,European Peopleâs Party,167,0,4,17,1,0.023391812865497075,182510
SD,Progressive Alliance of Socialists and Democrats,113,6,0,17,1,0.050420168067226934,182510
PFE,Patriots for Europe,30,25,22,8,1,0.6103896103896104,182510
ECR,European Conservatives and Reformists,16,0,57,6,1,0.7808219178082192,182510
RENEW,Renew Europe,58,0,8,9,1,0.12121212121212122,182510
GREEN_EFA,Greens/European Free Alliance,35,10,2,6,1,0.25531914893617025,182510
GUE_NGL,The Left in the European Parliament,1,36,3,6,0,0.09999999999999998,182510
NI,Non-attached Members,3,22,0,5,0,0.12,182510
ESN,Europe of Sovereign Nations,2,21,0,4,0,0.08695652173913049,182510
EPP,European Peopleâs Party,140,18,11,19,1,0.17159763313609466,183122
SD,Progressive Alliance of Socialists and Democrats,125,0,0,11,1,0.0,183122
PFE,Patriots for Europe,0,79,0,6,0,0.0,183122
ECR,European Conservatives and Reformists,3,65,2,9,0,0.0714285714285714,183122
RENEW,Renew Europe,46,18,4,7,1,0.32352941176470584,183122
GREEN_EFA,Greens/European Free Alliance,50,0,0,3,1,0.0,183122
GUE_NGL,The Left in the European Parliament,36,0,0,10,1,0.0,183122
NI,Non-attached Members,20,5,1,4,1,0.23076923076923073,183122
ESN,Europe of Sovereign Nations,0,22,2,3,0,0.08333333333333337,183122
EPP,European Peopleâs Party,1,170,1,16,0,0.011627906976744207,182885
SD,Progressive Alliance of Socialists and Democrats,7,116,2,11,0,0.07199999999999995,182885
PFE,Patriots for Europe,0,78,0,7,0,0.0,182885
ECR,European Conservatives and Reformists,0,75,0,4,0,0.0,182885
RENEW,Renew Europe,34,32,1,8,1,0.4925373134328358,182885
GREEN_EFA,Greens/European Free Alliance,48,0,0,5,1,0.0,182885
GUE_NGL,The Left in the European Parliament,42,0,0,4,1,0.0,182885
NI,Non-attached Members,6,18,2,4,0,0.3076923076923077,182885
ESN,Europe of Sovereign Nations,0,23,0,4,0,0.0,182885
EPP,European Peopleâs Party,163,2,6,16,1,0.04678362573099415,183225
SD,Progressive Alliance of Socialists and Democrats,116,5,1,14,1,0.049180327868852514,183225
PFE,Patriots for Europe,0,79,1,6,0,0.012499999999999956,183225
ECR,European Conservatives and Reformists,7,12,55,5,0,0.8378378378378378,183225
RENEW,Renew Europe,69,0,1,5,1,0.014285714285714235,183225
GREEN_EFA,Greens/European Free Alliance,36,15,0,2,1,0.2941176470588235,183225
GUE_NGL,The Left in the European Parliament,1,37,2,6,0,0.07499999999999996,183225
NI,Non-attached Members,2,23,3,2,0,0.1785714285714286,183225
ESN,Europe of Sovereign Nations,1,24,1,1,0,0.07692307692307687,183225
EPP,European Peopleâs Party,158,1,9,19,1,0.059523809523809534,183397
SD,Progressive Alliance of Socialists and Democrats,118,3,1,14,1,0.032786885245901676,183397
PFE,Patriots for Europe,0,72,8,6,0,0.09999999999999998,183397
ECR,European Conservatives and Reformists,4,10,60,5,0,0.8648648648648649,183397
RENEW,Renew Europe,67,0,2,6,1,0.02898550724637683,183397
GREEN_EFA,Greens/European Free Alliance,42,6,0,5,1,0.125,183397
GUE_NGL,The Left in the European Parliament,0,40,0,6,0,0.0,183397
NI,Non-attached Members,3,22,3,2,0,0.2142857142857143,183397
ESN,Europe of Sovereign Nations,0,25,0,2,0,0.0,183397
EPP,European Peopleâs Party,160,9,0,19,1,0.053254437869822535,182797
SD,Progressive Alliance of Socialists and Democrats,125,0,0,11,1,0.0,182797
PFE,Patriots for Europe,1,9,67,8,0,0.8831168831168831,182797
ECR,European Conservatives and Reformists,4,11,58,6,0,0.8493150684931507,182797
RENEW,Renew Europe,52,10,5,8,1,0.22388059701492535,182797
GREEN_EFA,Greens/European Free Alliance,48,0,0,5,1,0.0,182797
GUE_NGL,The Left in the European Parliament,41,0,0,5,1,0.0,182797
NI,Non-attached Members,19,3,3,5,1,0.24,182797
ESN,Europe of Sovereign Nations,1,3,20,3,0,0.875,182797
EPP,European Peopleâs Party,157,5,5,20,1,0.05988023952095811,183107
SD,Progressive Alliance of Socialists and Democrats,120,0,3,13,1,0.024390243902439046,183107
PFE,Patriots for Europe,0,70,10,6,0,0.125,183107
ECR,European Conservatives and Reformists,0,11,60,8,0,0.8450704225352113,183107
RENEW,Renew Europe,68,0,0,7,1,0.0,183107
GREEN_EFA,Greens/European Free Alliance,51,0,0,2,1,0.0,183107
GUE_NGL,The Left in the European Parliament,21,0,18,7,1,0.46153846153846156,183107
NI,Non-attached Members,4,12,12,2,0,0.5714285714285714,183107
ESN,Europe of Sovereign Nations,0,22,0,5,0,0.0,183107
EPP,European Peopleâs Party,164,7,1,16,1,0.046511627906976716,182896
SD,Progressive Alliance of Socialists and Democrats,12,106,4,14,0,0.1311475409836066,182896
PFE,Patriots for Europe,78,0,0,7,1,0.0,182896
ECR,European Conservatives and Reformists,75,0,0,4,1,0.0,182896
RENEW,Renew Europe,11,31,23,10,0,0.523076923076923,182896
GREEN_EFA,Greens/European Free Alliance,0,46,2,5,0,0.04166666666666663,182896
GUE_NGL,The Left in the European Parliament,0,42,0,4,0,0.0,182896
NI,Non-attached Members,20,5,1,4,1,0.23076923076923073,182896
ESN,Europe of Sovereign Nations,24,0,0,3,1,0.0,182896
EPP,European Peopleâs Party,165,1,7,15,1,0.046242774566473965,182895
SD,Progressive Alliance of Socialists and Democrats,13,107,2,14,0,0.12295081967213117,182895
PFE,Patriots for Europe,78,0,0,7,1,0.0,182895
ECR,European Conservatives and Reformists,75,0,0,4,1,0.0,182895
RENEW,Renew Europe,20,5,42,8,1,0.7014925373134329,182895
GREEN_EFA,Greens/European Free Alliance,1,43,4,5,0,0.10416666666666663,182895
GUE_NGL,The Left in the European Parliament,0,42,0,4,0,0.0,182895
NI,Non-attached Members,21,4,1,4,1,0.1923076923076923,182895
ESN,Europe of Sovereign Nations,23,0,0,4,1,0.0,182895
EPP,European Peopleâs Party,179,0,0,9,1,0.0,182479
SD,Progressive Alliance of Socialists and Democrats,126,0,0,10,1,0.0,182479
PFE,Patriots for Europe,64,14,0,7,1,0.17948717948717952,182479
ECR,European Conservatives and Reformists,68,5,1,5,1,0.08108108108108103,182479
RENEW,Renew Europe,66,0,0,9,1,0.0,182479
GREEN_EFA,Greens/European Free Alliance,49,0,0,4,1,0.0,182479
